"Prostituees werken liever via internet dan in bordeel",True,http://web.archive.org/web/20121025024037/http://www.trouw.nl/tr/nl/4324/nieuws/archief/article/detail/1647442/2007/05/10/Prostituees-werken-liever-via-internet-dan-in-bordeel.dhtml,200,20121025024037
"Ziekenvervoer ver onder de maat",False,,,
"De bijbel verscheur je ook niet.",False,,,
"Fraude met thuishulp is eenvoudig",False,,,
"De innige band van broer en zus",False,,,
"Breda een dagje vol meisjes met rode haren",False,,,
"Een vreemde in het gezin",False,,,
"’Die autobranden, dat is echt iets van de ouderen’",False,,,
"Geduld van Koerden is bijna op",False,,,
"Hicham wil een gezin en een baan",False,,,
"’Vroeger leden we gemeenschappelijk’ Bijlmerkerk",False,,,
"Echt veilig voelt Narzeemha zich nooit",False,,,
"’50 Euro in tien minuutjes verdien je nergens",False,,,
"Seks, onder het mom van massage",False,,,
"Voor zo’n filmpje hoef ik de straat niet op",False,,,
"Gemengde wijken creëren frustraties",False,,,
"Maffia hindert de Chinatowns",True,http://web.archive.org/web/20110713231558/http://www.trouw.nl:80/tr/nl/4324/Nieuws/article/detail/1243321/2008/04/21/Maffia-hindert-de-Chinatowns.dhtml,200,20110713231558
"Chinese ondernemer buigt voor triades",False,,,
"Chinese crimineel vooral uit op geld, niet op macht",False,,,
"Taxibedrijven hebben moeite met de regels",False,,,
"Strijden tegen de bekende emoties",True,http://web.archive.org/web/20121023082355/http://www.trouw.nl/tr/nl/4324/nieuws/article/detail/1233664/2008/05/29/Strijden-tegen-de-bekende-emoties.dhtml,200,20121023082355
"Sigaret is ontspannend bij spannend potje poker",False,,,
"Twijfel op de Wallen over plan van gemeente",False,,,
"Oost-Europeanen betrokken bij illegale prostitutie Den Haag",False,,,
"Belhuis vooral ontmoetingsplek",False,,,
"Broeinesten of buurthuizen? Belhuizen",False,,,
"Racen aan zee of tussen bollenvelden",False,,,
"Ineens kwamen mannen in uniform vliegtuig binnen",False,,,
"Beloofde Land stelt Rotterdammers teleur",False,,,
"'Er zijn genoeg manieren om aan drank te komen",False,,,
"Haung zocht 'werk en geluk in overvloed",False,,,
"Verstopt voor de vreemdelingen politie",False,,,
"'Ali was lief, hij deed alles voor me'",True,http://web.archive.org/web/20120320213154/http://www.trouw.nl:80/tr/nl/4324/Nieuws/article/detail/1150235/2009/05/30/rsquo-Ali-was-lief-hij-deed-alles-voor-me-rsquo.dhtml,200,20120320213154
"Zijn charme verdween als sneeuw voor de zon",False,,,
"Liever een bouwsel dan een betonnen doos",False,,,
"Meeste daklozen zijn bewapend",False,,,
"Bij mevrouw Demir is de vliegangst weer terug",False,,,
"In de taxi bij een vrije rijder",False,,,
"Illegale seks in een donker magazijn",False,,,
"Illegale seks in Chinese salons op de wallen",True,http://web.archive.org/web/20110809100052/http://www.trouw.nl:80/tr/nl/4324/Nieuws/article/detail/1152417/2009/07/27/Illegale-seks-in-Chinese-salons-op-de-Wallen.dhtml,200,20110809100052
"Kakkerlakken verzieken de markt",False,,,
"Schuivende problemen",False,,,
"Slachtoffer Saban B. voelt zich vogelvrij",False,,,
"Ik was echt een speeltje voor ze",False,,,
"De Hongaarse connectie",False,,,
"Indië op het Malieveld",True,http://web.archive.org/web/20141219005949/http://www.trouw.nl/tr/nl/4324/nieuws/archief/article/detail/1592725/2010/05/15/Indie-op-het-Malieveld.dhtml,200,20141219005949
"Wallen wachten gespannen op nieuwe pooiers",True,http://web.archive.org/web/20141218201056/http://www.trouw.nl/tr/nl/4324/nieuws/archief/article/detail/1592293/2010/05/17/Wallen-wachten-gespannen-op-nieuwe-pooiers.dhtml,200,20141218201056
"Een heel vol insecten en rijstkoeken",True,http://web.archive.org/web/20141218205149/http://www.trouw.nl/tr/nl/4324/nieuws/archief/article/detail/1593578/2010/05/12/Een-hel-vol-rijstkoeken-en-insecten.dhtml,200,20141218205149
"Kiezers in Kerkrade stemmen voor duidelijke taal",True,http://web.archive.org/web/20141218164944/http://www.trouw.nl/tr/nl/4324/nieuws/article/detail/1108355/2010/06/11/Kiezers-in-Kerkrade-stemmen-voor-duidelijke-taal.dhtml,200,20141218164944
"Een gezellige bende",True,http://web.archive.org/web/20141219013036/http://www.trouw.nl/tr/nl/4324/nieuws/article/detail/1117010/2010/07/03/Een-gezellige-bende.dhtml,200,20141219013036
"Noord-Brabant even echt een met 'Westen",True,http://web.archive.org/web/20141218165752/http://www.trouw.nl/tr/nl/4324/nieuws/archief/article/detail/1595881/2010/07/12/Noord-Brabant-even-echt-een-met-Westen.dhtml,200,20141218165752
"Respecteer Bouta net als Wilders",True,http://web.archive.org/web/20141219051145/http://www.trouw.nl/tr/nl/4324/nieuws/article/detail/1119355/2010/07/21/rsquo-Respecteer-Bouta-net-als-Wilders-rsquo.dhtml,200,20141219051145
